NUMBER	CHINESE	GLOSS	PAGE	CONCEPTICON_ID	CONCEPTICON_GLOSS	TYPO	Huang-1992-1800	GLOSS (can be edit)	Huang_book_Chinese	Huang_book_English	Category	TBL_ID	TBL_ENGLISH	TBL_CHINESE	TBL_CONCEPTICON_ID	TBL_CONCEPTICON_GLOSS	TBL_POS	TBL_EVARS	TBL_CVARS
Chen-2013-888-369	椅子	chair	689	1476	CHAIR		0	chair			用品工具								
Chen-2013-888-370	凳子	stool (bench)	690	2058	STOOL		525	stool/ bench	凳子	stool/ bench	用品工具	Huang-1992-1820-525	stool / bench	凳子	2584	BENCH	n		
Chen-2013-888-371	箱子	box	690	1465	BOX		527	chest/ box/ trunk	箱子	chest/ box/ trunk	用品工具	Huang-1992-1820-527	chest / box / trunk	箱子	1592	CHEST	n		
Chen-2013-888-372	柜子	cupboard	690		*CUPBOARD		528	cupboard/ cabinet	柜子	cupboard/ cabinet	用品工具	Huang-1992-1820-528	cupboard / cabinet	柜子		*CUPBOARD	n		
Chen-2013-888-373	架子	shelf	691	745	SHELF		0	shelf			用品工具								
Chen-2013-888-374	扫帚	broom	691	245	BROOM		532	broom	扫帚	broom	用品工具	Huang-1992-1820-532	broom	扫帚	245	BROOM	n		
Chen-2013-888-375	刷子	brush	691	1821	BRUSH		0	brush			用品工具								
Chen-2013-888-376	柴	firewood	692	10	FIREWOOD		534	firewood	柴	firewood	用品工具	Huang-1992-1820-534	firewood	柴	10	FIREWOOD	n		
Chen-2013-888-377	灶	stove	692	859	STOVE		544	cooking stove/ kitchen range	灶	cooking stove/ kitchen range	用品工具	Huang-1992-1820-544	stove (cooking) / range (kitchen)	灶	859	STOVE	n		
Chen-2013-888-378	锅	wok (or pan)	692	2056	WOK						用品工具								
Chen-2013-888-379	甑子	rice steamer	693		*RICE STEAMER		0				用品工具								
Chen-2013-888-380	菜刀	vegetable knife	693	2772	VEGETABLE KNIFE		0	vegetable knife			用品工具								
Chen-2013-888-381	碗	bowl	693	1530	BOWL		553	bowl	碗	bowl	用品工具	Huang-1992-1820-553	bowl (tea) (note:+tea)	碗 (茶~)			n		
Chen-2013-888-382	筷子	chopsticks	694	1987	CHOPSTICKS		555	chopsticks	筷子	chopsticks	用品工具	Huang-1992-1820-555	chopsticks (term used by old people) (note:younger{language})	筷子 ((青年语))	1987	CHOPSTICKS	n		
Chen-2013-888-383	勺子	spoon	694	1378	SPOON		551	ladle	勺子	ladle	用品工具	Huang-1992-1820-551	ladle (bamboo) (note:+iron)	勺子 (铁~)	2657	LADLE	n		
Chen-2013-888-384	酒杯	wine glass	694				0	wine glass			用品工具								
Chen-2013-888-385	坛子	earthen jar	695		*EARTHEN JAR		558	earthen jar	坛子	earthen jar	用品工具	Huang-1992-1820-558	jar (earthen)	坛子	270	JUG	n		
Chen-2013-888-386	水缸	water tank	695				0	water bowl			用品工具								
Chen-2013-888-387	水桶	bucket	695				561	bucket	水桶	bucket	用品工具	Huang-1992-1820-561	bucket	水桶	2052	BUCKET	n		
Chen-2013-888-388	罐子	can (jar)	696	1051	CAN		557	pot/ jar/ tin	罐子	pot/ jar/ tin	用品工具	Huang-1992-1820-557	pot / jar / tin	罐子	1462	POT	n		
Chen-2013-888-389	水瓢	gourd ladle (wooden dipper)	696	2657	LADLE		0	ladle			用品工具								
Chen-2013-888-390	火钳	fire tongs	696		*FIRE TONGS		566	fire-tongs	火钳	fire-tongs	用品工具	Huang-1992-1820-566	tongs (fire)	火钳	272	TONGS	n		
Chen-2013-888-391	吹火筒	tube (bamboo) for blowing on a fire	697				567	a (bamboo) tube for blowing on a fire	吹火筒	a (bamboo) tube for blowing on a fire	用品工具	Huang-1992-1820-567	tube (sheepskin pantsleg) for blowing on a fire	吹火筒 (羊皮风装)		???	n		
Chen-2013-888-392	篮子	basket	697	1539	BASKET		0	basket			用品工具								
Chen-2013-888-393	背带	a piece of cloth with straps for carrying a toddler steelyard on the back	697	2973	STRAP		569	a piece of cloth with straps for carrying a toddler steelyard on the back	背带	a piece of cloth with straps for carrying a toddler steelyard on the back	用品工具	Huang-1992-1820-569	piece of cloth with straps for carrying a toddler	背带(背小孩用)	3193	BABY SLING	n		
Chen-2013-888-394	扇子	fan (can be held by single hand)	698	1971	FAN (OBJECT)		0	fan (instrument)			用品工具								
Chen-2013-888-395	秤	scales	698	2783	SCALES (MEASURE INSTRUMENT)		570	steelyard/ scales	秤	steelyard/ scales	用品工具	Huang-1992-1820-570	steelyard / scales (small) (note:+small)	秤 (小~)	2687	STEELYARD (BALANCE)	n		
Chen-2013-888-396	尺子	ruler	698		*RULER		577	ruler	尺子	ruler	用品工具	Huang-1992-1820-577	ruler (measure)	尺子	1508	KING	n		
Chen-2013-888-397	针	needle	699	1382	NEEDLE (FOR SEWING)		578	needle	针	needle	用品工具	Huang-1992-1820-578	needle	针	1382	NEEDLE (FOR SEWING)	n		
Chen-2013-888-398	剪刀	scissors	699	356	SHEARS		581	scissors	剪子	scissors	用品工具								
Chen-2013-888-399	梯子	ladder	699	1464	LADDER		582	ladder	梯子	ladder	用品工具	Huang-1992-1820-582	ladder	梯子	1464	LADDER	n		
Chen-2013-888-400	锁	lock	700	1596	LOCK		584	lock	锁	lock	用品工具	Huang-1992-1820-584	lock	锁	1596	LOCK	n		
Chen-2013-888-401	钥匙	key	700	1472	KEY		585	key	钥匙	key	用品工具	Huang-1992-1820-585	key	钥匙	1472	KEY	n		
Chen-2013-888-402	灯	light/ lamp	700	625	LAMP		533	light/ lamp	灯	light/ lamp	用品工具	Huang-1992-1820-533	light / lamp	灯	625	LAMP	n		
Chen-2013-888-403	灯笼	lantern	701		*LANTERN		0	lantern			用品工具								
Chen-2013-888-404	镜子	mirror	701	1171	MIRROR		531	mirror	镜子	mirror	用品工具	Huang-1992-1820-531	mirror	镜子	1171	MIRROR	n		
Chen-2013-888-405	耳环	earring	701	770	EARRING		484	earrings	耳环	earrings	衣着	Huang-1992-1820-484	earrings (small) (note:+large)	耳环 (大~)	770	EARRING	n		
Chen-2013-888-406	手镯	bracelet	702	1754	BRACELET		487	bracelet	手镯	bracelet	衣着	Huang-1992-1820-487	bracelet	手镯	1754	BRACELET	n		
Chen-2013-888-407	梳子	comb	702	1475	COMB		481	comb	梳子	comb	衣着	Huang-1992-1820-481	comb	梳子	1475	COMB	n		
Chen-2013-888-408	棺材	coffin	702	2011	COFFIN		0	coffin			用品工具								
Chen-2013-888-409	钱	money	703	1559	MONEY		573	money	钱（货币）	money	用品工具								
Chen-2013-888-410	货物	goods (merchandise)	703				575	goods/ merchandise	货物	goods/ merchandise	用品工具	Huang-1992-1820-575	goods / merchandise	货物	3194	MERCHANDISE	n		
Chen-2013-888-411	鼓	drum	703	908	DRUM		659	drum	鼓	drum	文化娱乐	Huang-1992-1820-659	drum (big) (note:+small)	鼓 (小手~)	908	DRUM	n		
Chen-2013-888-412	锣	gong	704	2502	GONG		660	gong	锣	gong	文化娱乐	Huang-1992-1820-660	gong	锣	2502	GONG	n		
Chen-2013-888-413	钟	bell	704	2246	BELL		662	chime	钟	chime	文化娱乐	Huang-1992-1820-662	chime	钟		*BELL	n		
Chen-2013-888-414	喇叭	loudspeaker	704				667	suona horn	喇叭（唢呐）	suona horn	文化娱乐								
Chen-2013-888-415	香	incense	705		*INCENSE		0				文化娱乐								
Chen-2013-888-416	蜡烛	candle	705	1273	CANDLE		0				文化娱乐								
Chen-2013-888-417	话	word (speech)	705	1115	SPEECH		651	speech/ words	话	speech/ words	文化娱乐	Huang-1992-1820-651	speech / words	话	1115	SPEECH	n		
Chen-2013-888-418	歌	song	706	1096	SONG		656	song	歌	song	文化娱乐	Huang-1992-1820-656	song (folk/ sung in fields during or after work)	歌 (山~)	1096	SONG	n		
Chen-2013-888-419	故事	story	706	2060	STORY		652	story	故事	story	文化娱乐	Huang-1992-1820-652	story	故事	2060	STORY	n		
Chen-2013-888-420	谜语	riddle	706	2970	RIDDLE		655	riddle	谜语	riddle	文化娱乐	Huang-1992-1820-655	riddle	谜语	2970	RIDDLE	n		
Chen-2013-888-421	笔	pen	707	794	PEN		648	pen	笔	pen	文化娱乐	Huang-1992-1820-648	pen (writing instrument) (brush) (note:+bamboo)	笔 (竹~)	794	PEN	n		
Chen-2013-888-422	书	book	707	963	BOOK		646	book	书	book	文化娱乐	Huang-1992-1820-646	book (Tibetan style long strips) (note:+Tibetan_scroll)	书 ((藏式长条)~)	963	BOOK	n		
Chen-2013-888-423	纸	paper	707	648	PAPER		647	paper	纸	paper	文化娱乐	Huang-1992-1820-647	paper	纸	648	PAPER	n		
Chen-2013-888-424	信	letter	708	1612	LETTER		644	letter	信	letter	文化娱乐	Huang-1992-1820-644	letter	信	1612	LETTER	n		
Chen-2013-888-425	球	ball	708	1845	BALL		0				文化娱乐								
Chen-2013-888-426	旗子	flag	708	2623	FLAG		0				文化娱乐								
Chen-2013-888-427	牌	card	709	2619	CARD		0				文化娱乐								
Chen-2013-888-428	一	one	709	1493	ONE		797	one	一	one	数量词	Huang-1992-1820-797	one	一	1493	ONE	n		
Chen-2013-888-429	二	two	709	1498	TWO		798	two	二	two	数量词	Huang-1992-1820-798	two	二	1498	TWO	n		
Chen-2013-888-430	三	three	710	492	THREE		799	three	三	three	数量词	Huang-1992-1820-799	three	三	492	THREE	n		
Chen-2013-888-431	四	four	710	1500	FOUR		800	four	四	four	数量词	Huang-1992-1820-800	four	四	1500	FOUR	n		
Chen-2013-888-432	五	five	710	493	FIVE		801	five	五	five	数量词	Huang-1992-1820-801	five	五	493	FIVE	n		
Chen-2013-888-433	六	six	711	1703	SIX		802	six	六	six	数量词	Huang-1992-1820-802	six	六	1703	SIX	n		
Chen-2013-888-434	七	seven	711	1704	SEVEN		803	seven	七	seven	数量词	Huang-1992-1820-803	seven	七	1704	SEVEN	n		
Chen-2013-888-435	八	eight	711	1705	EIGHT		804	eight	八	eight	数量词	Huang-1992-1820-804	eight	八	1705	EIGHT	n		
Chen-2013-888-436	九	nine	712	1483	NINE		805	nine	九	nine	数量词	Huang-1992-1820-805	nine	九	1483	NINE	n		
Chen-2013-888-437	十	ten	712	1515	TEN		806	ten	十	ten	数量词	Huang-1992-1820-806	ten	十	1515	TEN	n		
Chen-2013-888-438	十一	eleven	712	1706	ELEVEN		807	eleven	十一	eleven	数量词	Huang-1992-1820-807	eleven	十一	1706	ELEVEN	n		
Chen-2013-888-439	十二	twelve	713	1707	TWELVE		808	twelve	十二	twelve	数量词	Huang-1992-1820-808	twelve	十二	1707	TWELVE	n		
Chen-2013-888-440	十三	thirteen	713	1708	THIRTEEN		809	thirteen	十三	thirteen	数量词	Huang-1992-1820-809	thirteen	十三	1708	THIRTEEN	n		
Chen-2013-888-441	十四	fourteen	713	2451	FOURTEEN		810	fourteen	十四	fourteen	数量词	Huang-1992-1820-810	fourteen	十四	2451	FOURTEEN	n		
Chen-2013-888-442	十五	fifteen	714	1709	FIFTEEN		811	fifteen	十五	fifteen	数量词	Huang-1992-1820-811	fifteen	十五	1709	FIFTEEN	n		
Chen-2013-888-443	十六	sixteen	714	2454	SIXTEEN		812	sixteen	十六	sixteen	数量词	Huang-1992-1820-812	sixteen	十六	2454	SIXTEEN	n		
Chen-2013-888-444	十七	seventeen	714	2453	SEVENTEEN		813	seventeen	十七	seventeen	数量词	Huang-1992-1820-813	seventeen	十七	2453	SEVENTEEN	n		
Chen-2013-888-445	十八	eighteen	715	1713	EIGHTEEN		814	eighteen	十八	eighteen	数量词	Huang-1992-1820-814	eighteen	十八	1713	EIGHTEEN	n		
Chen-2013-888-446	十九	nineteen	715	1714	NINETEEN		815	nineteen	十九	nineteen	数量词	Huang-1992-1820-815	nineteen	十九	1714	NINETEEN	n		
Chen-2013-888-447	二十	twenty	715	1710	TWENTY		816	twenty	二十	twenty	数量词	Huang-1992-1820-816	twenty	二十	1710	TWENTY	n		
Chen-2013-888-448	三十	thirty	716	1715	THIRTY		817	thirty	三十	thirty	数量词	Huang-1992-1820-817	thirty	三十	1715	THIRTY	n		
Chen-2013-888-449	百	hundred	716	1634	HUNDRED		824	hundred	百	hundred	数量词	Huang-1992-1820-824	hundred	百	1634	HUNDRED	n		
Chen-2013-888-450	位（客）	classifier for person	716	516	PERSON (CLASSIFIER)		0				数量词								
Chen-2013-888-451	个（蛋）	classifier for egg	717		*EGG (CLASSIFIER)		841	CL (egg)	个（一～鸡蛋）	CL (egg)	数量词								
Chen-2013-888-452	只（鸡）	classifier for birds	717	2081	CHICKEN (CLASSIFIER)		842	CL (birds)	只（两～鸟）	CL (birds)	数量词								
Chen-2013-888-453	条（河）	classifier for rivers	717		*CLASSIFIER FOR RIVERS		837	CL (river)	条（一～河）	CL (river)	数量词								
Chen-2013-888-454	棵（树）	classifier for trees	718	2721	TREE (CLASSIFIER)		848	CL (tree)	棵（一～树）	CL (tree)	数量词								
Chen-2013-888-455	根（棍）	classifier for sticks	718	2085	STICK (CLASSIFIER)		843	CL (stick)	根（一～棍子）	CL (stick)	数量词								
Chen-2013-888-456	块	classifier for stones	718		*STONE (CLASSIFIER)		859	CL (rock/ stone)	块（一～石头）	CL (rock/ stone)	数量词								
Chen-2013-888-457	双	classifier for pairs	719	2089	PAIR (CLASSIFIER)		865	pair (of shoes)	双（一～鞋）	pair (of shoes)	数量词								
Chen-2013-888-458	层	classifier for storeys	719		*STOREY		887	storey	层（俩～楼）	storey	数量词								
Chen-2013-888-459	件	classifier for clothing	719	2088	CLOTHING (CLASSIFIER)		864	CL (garment)	件（一～衣）	CL (garment)	数量词								
Chen-2013-888-460	句	sentence (of speech)	720		*SENTENCE (CLASSIFIER)		862	sentence (of speech)	句（一～话）	sentence (of speech)	数量词								
Chen-2013-888-461	首	classifier for songs	720		*SONG (CLASSIFIER)		863	CL (song)	首（一～歌）	CL (song)	数量词								
Chen-2013-888-462	斤	jin (=0.5 kg.)	720	2647	CATTY (MASS UNIT)		893	jin (=0.5 kg.)	斤（一～）	jin (=0.5 kg.)	数量词								
Chen-2013-888-463	两	tael (-50 grams)	721				894	tael (-50 grams)	两（一～）	tael (-50 grams)	数量词								
Chen-2013-888-464	丈	zhang (=10 feet)	721								数量词								
Chen-2013-888-465	尺	foot (=1/3 meter)	721	2782	FOOT (MEASURE)		900	foot (=1/3 meter)	尺（一～）	foot (=1/3 meter)	数量词								
Chen-2013-888-466	元	yuan (unit of payment)	722				906	yuan (=Chinese dollar)	元（一～）	yuan (=Chinese dollar)	数量词								
Chen-2013-888-467	年	year	722	1226	YEAR		777	year	年	year	方位时间	Huang-1992-1820-777	year	年	1226	YEAR	n		
Chen-2013-888-468	月	month	722	1370	MONTH		771	month	月	month	方位时间	Huang-1992-1820-771	month	月	1370	MONTH	n		
Chen-2013-888-469	天	day	723	1260	DAY (24 HOURS)		910	a day’s (work)	天	a day’s (work)	数量词	Huang-1992-1820-1	sky	天	1732	SKY	n		
Chen-2013-888-470	岁	classifier for years	723				914	X-year old	岁（一～）	X-year old	数量词								
Chen-2013-888-471	每天	everyday	723				925	everyday	每天	everyday	数量词	Huang-1992-1820-925	every day	每天			n		
Chen-2013-888-472	前面	front	724	2194	FRONT (PART)		712	front	前（～边）	front	方位时间								
Chen-2013-888-473	后面	back	724	1686	BEHIND		713	back	后（～边）	back	方位时间								
Chen-2013-888-474	左边	left	724	244	LEFT		710	left	左（～边）	left	方位时间								
Chen-2013-888-475	右边	right	725	1019	RIGHT		711	right	右（～边）	right	方位时间								
Chen-2013-888-476	上边	on	725	57	ATOP		724	on ( the table)	上（桌子～）	on ( the table)	方位时间								
Chen-2013-888-477	下边	under	725	1485	BELOW OR UNDER		725	under (the table)	下（桌子～）	under (the table)	方位时间								
Chen-2013-888-478	里边	inside	726	1606	INSIDE		715	inside	里（～边）	inside	方位时间								
Chen-2013-888-479	外边	outside	726	762	OUTSIDE		714	outside	外（～边）	outside	方位时间								
Chen-2013-888-480	中间	middle	726	1093	MIDDLE		708	middle	中间	middle	方位时间	Huang-1992-1820-708	middle	中间	1093	MIDDLE	n		
Chen-2013-888-481	旁边	side	727	682	SIDE		709	side	旁边	side	方位时间	Huang-1992-1820-709	side	旁边	682	SIDE	n		
Chen-2013-888-482	今天	today	727	1283	TODAY		738	today	今天	today	方位时间	Huang-1992-1820-738	today	今天	1283	TODAY	n/adv		
Chen-2013-888-483	明天	tomorrow	727	1329	TOMORROW		742	tomorrow	明天	tomorrow	方位时间	Huang-1992-1820-742	tomorrow	明天	1329	TOMORROW	n		
Chen-2013-888-484	昨天	yesterday	728	1174	YESTERDAY		739	yesterday	昨天	yesterday	方位时间	Huang-1992-1820-739	yesterday	昨天	1174	YESTERDAY	n/adv		
Chen-2013-888-485	后天	day after tomorrow	728	1179	DAY AFTER TOMORROW		743	the day after tomorrow	后天	the day after tomorrow	方位时间	Huang-1992-1820-743	day after tomorrow	后天	1179	DAY AFTER TOMORROW	n		
Chen-2013-888-486	上午	forenoon	728	2775	FORENOON		0				方位时间								
Chen-2013-888-487	中午	noon	729	12	MIDDAY		750	noon	中午	noon	方位时间	Huang-1992-1820-750	noon	中午	12	MIDDAY	n		
Chen-2013-888-488	下午	afternoon	729	1807	AFTERNOON		0				方位时间								
Chen-2013-888-489	早晨	morning	729	1339	MORNING		749	morning	早晨	morning	方位时间	Huang-1992-1820-749	morning	早晨	1339	MORNING	n		
Chen-2013-888-490	晚上	evening	730	1629	EVENING		752	at night/ in the evening	晚上	at night/ in the evening	方位时间	Huang-1992-1820-752	night/ at / evening/ in the	晚上	1629	EVENING	n		
Chen-2013-888-491	半夜	midnight	730		*MIDNIGHT		754	midnight	半夜	midnight	方位时间	Huang-1992-1820-754	midnight	半夜	2656	MIDNIGHT	n		
Chen-2013-888-492	初一	1st day of the lunar month	730				769	1st day of the lunar month	初一	1st day of the lunar month	方位时间	Huang-1992-1820-769	day (first of lunar month)	初一		*FIRST DAY OF MONTH	n		
Chen-2013-888-493	初二	2nd day of the lunar month	731				770	2nd day of the lunar month	初二	2nd day of the lunar month	方位时间	Huang-1992-1820-770	day (second of lunar month)	初二		*SECOND DAY OF MONTH	n		
Chen-2013-888-494	初三	3rd day of the lunar month	731				0				方位时间								
Chen-2013-888-495	正月	January	731	2036	JANUARY		772	January	一月	January	方位时间								
Chen-2013-888-496	二月	February	732	2037	FEBRUARY		773	February	二月	February	方位时间	Huang-1992-1820-773	February (lit. 'second month') (note:"the second month")	二月 ("第二个月")	2037	FEBRUARY	n		
Chen-2013-888-497	三月	March	732	2846	MARCH		0				方位时间								
Chen-2013-888-498	四月	April	732	2847	APRIL		0				方位时间								
Chen-2013-888-499	五月	May	733	2848	MAY (MONTH)		0				方位时间								
Chen-2013-888-500	六月	June	733	2849	JUNE		0				方位时间								
Chen-2013-888-501	七月	July	733	2850	JULY		0				方位时间								
Chen-2013-888-502	八月	August	734	2851	AUGUST		0				方位时间								
Chen-2013-888-503	九月	September	734	2852	SEPTEMBER		0				方位时间								
Chen-2013-888-504	十月	October	734	2853	OCTOBER		0				方位时间								
Chen-2013-888-505	十一月	November	735	2854	NOVEMBER		0				方位时间								
Chen-2013-888-506	十二月	December	735	2855	DECEMBER		0				方位时间								
Chen-2013-888-507	今年	this year	735	513	THIS YEAR		778	this year	今年	this year	方位时间	Huang-1992-1820-778	this year	今年	513	THIS YEAR	n		
Chen-2013-888-508	去年	last year	736	514	LAST YEAR		779	last year	去年	last year	方位时间	Huang-1992-1820-779	last year	去年	514	LAST YEAR	n		
Chen-2013-888-509	明年	next year	736	515	NEXT YEAR		781	next year	明年	next year	方位时间	Huang-1992-1820-781	next year	明年	515	NEXT YEAR	n		
Chen-2013-888-510	现在	now	736	1376	NOW		785	the present	现在	the present	方位时间	Huang-1992-1820-785	present/ the (time)	现在	1376	NOW	n		
Chen-2013-888-511	将来	in the future	737		*IN THE FUTURE		787	the future	将来	the future	方位时间	Huang-1992-1820-787	future (near) (note:+proximal)	将来 ((指近期))	2427	FUTURE	n		
Chen-2013-888-512	从前	in the past	737		*IN THE PAST		783	in the past	从前	in the past	方位时间	Huang-1992-1820-783	past/ in the	从前	2914	ONCE (IN THE PAST)	n		
Chen-2013-888-513	我	I	737	1209	I		928	I	我	I	代词	Huang-1992-1820-928	I	我	1209	I	n		
Chen-2013-888-514	我们	we	738	1212	WE		930	we	我们	we	代词	Huang-1992-1820-930	we	我们	1212	WE	n		
Chen-2013-888-515	你	you (singular)	738	1215	THOU		931	you	你	you	代词	Huang-1992-1820-931	you	你	1215	THOU	n		
Chen-2013-888-516	你们	you (plural)	738	1213	YOU		933	you (pl.)	你们	you (pl.)	代词	Huang-1992-1820-933	you (pl.)	你们	1213	YOU	n		
Chen-2013-888-517	他	he or she	739	2642	HE OR SHE		934	he	他	he	代词	Huang-1992-1820-934	he	他	1211	HE	n		
Chen-2013-888-518	他们	they	739	817	THEY		936	they	他们	they	代词	Huang-1992-1820-936	they	他们	817	THEY	n		
Chen-2013-888-519	大家	everybody	739		*EVERYBODY		939	the whole group/ we	大家	the whole group/ we	代词	Huang-1992-1820-939	we all	大家			n		
Chen-2013-888-520	自己	oneself	740	1993	SELF		940	oneself	自己	oneself	代词	Huang-1992-1820-940	oneself (note:+2nd_person)	自己 (你~)	1993	SELF	n		
Chen-2013-888-521	别人	another person	740				941	other person(s)	别人	other person(s)	代词	Huang-1992-1820-941	other person(s)	别人		*ALTER (OTHER PERSON)	n		
Chen-2013-888-522	这	this	740	1214	THIS		942	this	这	this	代词	Huang-1992-1820-942	this	这	1214	THIS	n		
Chen-2013-888-523	那	that	741	78	THAT		947	that	那（近指）	that	代词								
Chen-2013-888-524	什么	what	741	1236	WHAT		954	what	什么	what	代词	Huang-1992-1820-954	what	什么	1236	WHAT	n		
Chen-2013-888-525	哪个	which	741	727	WHICH		0				代词								
Chen-2013-888-526	哪里	where	742	1237	WHERE		955	where	哪里	where	代词	Huang-1992-1820-955	where	哪里	1237	WHERE	n		
Chen-2013-888-527	大	big (large)	742	1202	BIG		964	big/ large	大	big/ large	形容词	Huang-1992-1820-964	big / large	大	1202	BIG	adj		
Chen-2013-888-528	小	small	742	1246	SMALL		965	small	小	small	形容词	Huang-1992-1820-965	small	小	1246	SMALL	adj		
Chen-2013-888-529	高	high (tall)	743	1265	HIGH		968	high/ tall	高	high/ tall	形容词	Huang-1992-1820-968	high / tall (of trees) (note:tall)	高 ((个子)~)	711	TALL	adj	high / tall (of person's physique) (note:high) adj||high / tall adj	高 ((树)~)||高
Chen-2013-888-530	矮、低	low (short)	743	721	LOW		969	low/ short	低（矮）	low/ short	形容词								
Chen-2013-888-531	长	long	743	1203	LONG		972	long	长	long	形容词	Huang-1992-1820-972	long	长	1203	LONG	adj		
Chen-2013-888-532	短	short	744	1645	SHORT		973	short	短	short	形容词	Huang-1992-1820-973	short	短	1645	SHORT	adj		
Chen-2013-888-533	远	far/ distant	744	1406	FAR		974	far/ distant	远	far/ distant	形容词	Huang-1992-1820-974	far / distant	远	1406	FAR	adj		
Chen-2013-888-534	近	near	744	1942	NEAR		975	near	近	near	形容词	Huang-1992-1820-975	near	近	1942	NEAR	adj		
Chen-2013-888-535	宽	wide	745	1243	WIDE		976	wide/ broad	宽	wide/ broad	形容词	Huang-1992-1820-976	wide / broad (clothing) (note:wide)	宽 ((路)~)	2652	BROAD OR WIDE	adj		
Chen-2013-888-536	窄	narrow	745	1267	NARROW		977	narrow	窄	narrow	形容词	Huang-1992-1820-977	narrow	窄	1267	NARROW	adj		
Chen-2013-888-537	厚	thick	745	1244	THICK		980	thick	厚	thick	形容词	Huang-1992-1820-980	thick	厚	1244	THICK	adj		
Chen-2013-888-538	薄	thin	746	2306	THIN (OF LEAF AND CLOTH)		981	thin	薄	thin	形容词	Huang-1992-1820-981	thin	薄	2249	THIN (OF SHAPE OF OBJECT)	adj		
Chen-2013-888-539	深	deep	746	1593	DEEP		982	deep	深	deep	形容词	Huang-1992-1820-982	deep	深	1593	DEEP	adj		
Chen-2013-888-540	浅	shallow	746	193	SHALLOW		983	shallow	浅	shallow	形容词	Huang-1992-1820-983	shallow	浅	193	SHALLOW	adj		
Chen-2013-888-541	满	full	747	1429	FULL		984	full	满	full	形容词	Huang-1992-1820-984	full	满	1429	FULL	adj		
Chen-2013-888-542	空	empty	747	1624	EMPTY		985	empty	空	empty	形容词	Huang-1992-1820-985	empty	空	1624	EMPTY	adj		
Chen-2013-888-543	多	many	747	1198	MANY		987	many/ much	多	many/ much	形容词	Huang-1992-1820-987	many / much	多	1198	MANY	adj		
Chen-2013-888-544	少	few	748	1242	FEW		988	few/ little	少	few/ little	形容词	Huang-1992-1820-988	few / little	少	2924	A LITTLE	adj		
Chen-2013-888-545	方	angular	748	2757	ANGULAR (SQUAREFORMED)		989	square/ rectangular	方	square/ rectangular	形容词	Huang-1992-1820-989	square / rectangular (lit. 'four face four corner') (note:"four-face-four-angle")	方 ("四面四角")	850	SQUARE	adj		
Chen-2013-888-546	圆	round	748	1395	ROUND		990	circle/ circular	圆	circle/ circular	形容词	Huang-1992-1820-990	circle / circular (planar)	圆 ((圆筒形))	1395	ROUND	adj	circle / circular (tubular) (note:circular)||circle / circular (spherical) (note:spherical)||circle / circular	圆 ((指平面))||圆 ((球形))||圆
Chen-2013-888-547	扁	flat (and shallow)	749				991	flat (and shallow)	扁	flat (and shallow)	形容词	Huang-1992-1820-991	flat / shallow	扁	1633	FLAT	adj		
Chen-2013-888-548	尖	pointed	749	372	POINTED		992	pointed	尖	pointed	形容词	Huang-1992-1820-992	pointed	尖	372	POINTED	adj		
Chen-2013-888-549	平	flat (level)	749	1633	FLAT		994	level/ flat	平	level/ flat	形容词	Huang-1992-1820-994	level / flat	平	1633	FLAT	adj		
Chen-2013-888-550	直	straight	750	1404	STRAIGHT		1003	straight	直（～的）	straight	形容词								
Chen-2013-888-551	横	horizontal	750	2376	HORIZONTAL		1003	horizontal	横（～的）	horizontal	形容词								
Chen-2013-888-552	弯	bend (curved)	750	2004	BEND		1004	curved/ crooked/ bent	弯（～的）	curved/ crooked/ bent	形容词	Huang-1992-1820-1700	curved/ become / bent	弯	1698	CURVED	v.		
Chen-2013-888-553	黑	black	751	163	BLACK		1005	black	黑	black	形容词	Huang-1992-1820-1005	black (of faces)	黑 ((脸)~)	163	BLACK	adj	black	黑
Chen-2013-888-554	白	white	751	1335	WHITE		1006	white	白	white	形容词	Huang-1992-1820-1006	white	白	1335	WHITE	adj		
Chen-2013-888-555	红	red	751	156	RED		1007	red	红	red	形容词	Huang-1992-1820-1007	red	红	156	RED	adj		
Chen-2013-888-556	黄	yellow	752	1424	YELLOW		1008	yellow	黄	yellow	形容词	Huang-1992-1820-1008	yellow	黄	1424	YELLOW	adj		
Chen-2013-888-557	绿	green	752	1425	GREEN		1009	green	绿	green	形容词	Huang-1992-1820-1009	green	绿	1425	GREEN	adj		
Chen-2013-888-558	蓝	blue	752	837	BLUE		1010	blue	蓝	blue	形容词	Huang-1992-1820-1010	blue	蓝	837	BLUE	adj		
Chen-2013-888-559	亮	bright	753	679	BRIGHT		1012	bright	亮（～的）	bright	形容词								
Chen-2013-888-560	暗	dark	753	706	DARK		1013	dark	暗	dark	形容词	Huang-1992-1820-1013	dark	暗	706	DARK	adj		
Chen-2013-888-561	重	heavy	753	1210	HEAVY		1014	heavy	重	heavy	形容词	Huang-1992-1820-1014	heavy	重	1210	HEAVY	adj		
Chen-2013-888-562	轻	light (weight)	754	1052	LIGHT (WEIGHT)		1015	light (weight)	轻	light (weight)	形容词	Huang-1992-1820-1015	light	轻	1052	LIGHT (WEIGHT)	adj		
Chen-2013-888-563	快	quick/ fast	754	1631	FAST		1016	quick/ fast	快	quick/ fast	形容词	Huang-1992-1820-1016	quick /	快	1631	FAST	adj		
